time,dF/F,behavior
0,2.088,idle
66.67,2.081,idle
133.334,2.076,idle
200,2.047,idle
266.671,2.045,idle
333.335,2.022,idle
400.001,2.008,idle
466.666,1.994,idle
533.331,1.979,idle
600.003,1.972,idle
666.669,1.982,idle
733.337,1.98,idle
799.999,1.966,idle
866.67,1.956,idle
933.334,1.942,idle
1000,1.944,idle
1066.67,1.929,idle
1133.334,1.939,idle
1199.997,1.953,idle
1266.67,1.956,idle
1333.335,1.965,idle
1400,1.98,idle
1466.668,1.995,suspended
1533.331,2.009,suspended
1600.002,1.976,suspended
1666.665,1.935,suspended
1733.336,1.899,suspended
1799.997,1.797,suspended
1866.671,1.661,suspended
1933.337,1.539,suspended
2000.002,1.396,suspended
2066.669,1.263,suspended
2133.336,1.099,suspended
2199.998,0.936,suspended
2266.666,0.755,suspended
2333.333,0.594,suspended
2400.004,0.405,suspended
2466.665,0.212,suspended
2533.335,0.041,suspended
2599.998,-0.087,suspended
2666.666,-0.212,suspended
2733.335,-0.342,suspended
2800.001,-0.393,suspended
2866.664,-0.433,suspended
2933.334,-0.499,suspended
3000,-0.541,suspended
3066.666,-0.574,suspended
3133.337,-0.595,suspended
3200.001,-0.608,suspended
3266.668,-0.612,suspended
3333.334,-0.621,suspended
3399.999,-0.623,suspended
3466.668,-0.628,suspended
3533.334,-0.623,suspended
3600.003,-0.632,suspended
3666.67,-0.62,suspended
3733.337,-0.618,suspended
3800,-0.645,suspended
3866.669,-0.672,suspended
3933.335,-0.685,suspended
4000.004,-0.698,suspended
4066.668,-0.721,suspended
4133.337,-0.749,suspended
4200.001,-0.748,suspended
4266.666,-0.757,suspended
4333.332,-0.768,suspended
4400.001,-0.762,suspended
4466.67,-0.738,suspended
4533.335,-0.744,suspended
4600.003,-0.747,suspended
4666.67,-0.762,suspended
4733.336,-0.78,suspended
4800.003,-0.763,suspended
4866.67,-0.727,suspended
4933.334,-0.697,suspended
5000.003,-0.668,suspended
5066.669,-0.613,suspended
5133.335,-0.584,suspended
5200.002,-0.562,suspended
5266.67,-0.533,suspended
5333.337,-0.499,suspended
5400.001,-0.469,suspended
5466.669,-0.441,suspended
5533.334,-0.418,suspended
5600.004,-0.404,walking
5666.665,-0.402,walking
5733.332,-0.386,walking
5799.997,-0.371,walking
5866.669,-0.356,walking
5933.333,-0.346,walking
5999.998,-0.332,walking
6066.669,-0.347,walking
6133.335,-0.328,walking
6200.004,-0.335,walking
6266.667,-0.331,walking
6333.332,-0.333,walking
6400.001,-0.332,walking
6466.665,-0.337,walking
6533.33,-0.353,walking
6600.002,-0.356,walking
6666.67,-0.349,walking
6733.333,-0.332,walking
6800,-0.331,walking
6866.667,-0.333,walking
6933.338,-0.338,walking
7000.002,-0.339,walking
7066.671,-0.325,walking
7133.337,-0.326,walking
7200.003,-0.318,walking
7266.669,-0.312,walking
7333.333,-0.313,walking
7399.999,-0.31,walking
7466.666,-0.299,walking
7533.337,-0.276,walking
7600.004,-0.27,walking
7666.668,-0.241,walking
7733.331,-0.242,walking
7800.001,-0.246,walking
7866.67,-0.256,walking
7933.334,-0.248,walking
8000.001,-0.249,walking
8066.669,-0.25,walking
8133.334,-0.259,walking
8200.001,-0.26,walking
8266.666,-0.28,walking
8333.336,-0.293,walking
8399.998,-0.303,walking
8466.666,-0.318,walking
8533.337,-0.336,walking
8599.997,-0.335,walking
8666.67,-0.361,idle
8733.331,-0.374,idle
8800.002,-0.379,idle
8866.668,-0.359,idle
8933.333,-0.361,idle
9000.003,-0.357,idle
9066.668,-0.352,idle
9133.336,-0.342,idle
9200.003,-0.347,idle
9266.668,-0.341,idle
9333.336,-0.329,idle
9400.004,-0.316,idle
9466.669,-0.321,idle
9533.332,-0.325,idle
9600.002,-0.337,idle
9666.67,-0.34,idle
9733.331,-0.351,idle
9799.998,-0.376,idle
9866.668,-0.406,idle
9933.335,-0.423,idle
9999.999,-0.442,idle
10066.67,-0.448,idle
10133.331,-0.464,idle
10200.002,-0.457,idle
10266.664,-0.468,idle
10333.335,-0.484,idle
10400.003,-0.516,idle
10466.664,-0.553,idle
10533.334,-0.574,idle
10600.002,-0.579,idle
10666.668,-0.605,idle
10733.335,-0.623,idle
10799.999,-0.614,idle
10866.668,-0.64,idle
10933.334,-0.645,idle
11000.001,-0.657,idle
11066.665,-0.655,idle
11133.334,-0.638,idle
11199.997,-0.645,idle
11266.67,-0.631,idle
11333.332,-0.609,idle
11400.003,-0.595,idle
11466.665,-0.536,idle
11533.331,-0.497,idle
11599.999,-0.478,idle
11666.669,-0.44,idle
11733.336,-0.401,idle
11800.001,-0.378,idle
11866.664,-0.336,idle
11933.333,-0.305,idle
11999.999,-0.282,idle
12066.668,-0.284,idle
12133.331,-0.288,idle
12200.004,-0.284,idle
12266.664,-0.263,idle
12333.337,-0.275,idle
12400.002,-0.258,idle
12466.67,-0.256,idle
12533.336,-0.265,idle
12600.003,-0.265,idle
12666.67,-0.271,idle
12733.331,-0.263,idle
12800,-0.256,idle
12866.666,-0.237,idle
12933.334,-0.24,idle
12999.999,-0.236,idle
13066.665,-0.233,idle
13133.333,-0.235,idle
13199.999,-0.223,idle
13266.666,-0.229,idle
13333.336,-0.203,idle
13400.002,-0.204,idle
13466.669,-0.212,idle
13533.333,-0.206,idle
13600.002,-0.197,idle
13666.665,-0.187,idle
