Timestamp,CH1,behavior
0,-0.435,suspended
66.662,-0.499,suspended
133.331,-0.602,suspended
199.994,-0.628,suspended
266.666,-0.693,suspended
333.333,-0.836,suspended
399.995,-0.843,suspended
466.661,-0.751,suspended
533.327,-0.828,suspended
599.996,-0.762,suspended
666.66,-0.684,suspended
733.328,-0.696,suspended
799.999,-0.457,suspended
866.665,-0.244,suspended
933.333,-0.16,suspended
999.994,-0.244,suspended
1066.663,-0.134,suspended
1133.331,-0.091,suspended
1199.994,-0.17,suspended
1266.665,-0.082,suspended
1333.329,0.099,suspended
1399.999,0.267,suspended
1466.664,0.296,suspended
1533.327,0.368,suspended
1599.994,0.325,suspended
1666.663,0.388,suspended
1733.329,0.296,suspended
1799.997,-0.005,suspended
1866.667,-0.09,suspended
1933.331,-0.167,suspended
1999.996,-0.405,suspended
2066.661,-0.579,suspended
2133.329,-0.678,suspended
2199.997,-0.741,suspended
2266.661,-1.003,suspended
2333.328,-1.297,suspended
2399.994,-1.494,suspended
2466.664,-1.733,suspended
2533.328,-2.141,suspended
2599.999,-2.221,suspended
2666.666,-2.56,suspended
2733.329,-2.889,suspended
2799.995,-2.927,suspended
2866.662,-2.788,suspended
2933.332,-2.785,suspended
2999.996,-2.845,suspended
3066.661,-2.901,suspended
3133.333,-2.702,suspended
3199.997,-2.539,suspended
3266.662,-2.281,idle
3333.333,-1.932,idle
3399.998,-1.898,idle
3466.665,-1.736,idle
3533.333,-1.275,idle
3599.997,-1.122,idle
3666.662,-0.905,idle
3733.327,-0.462,idle
3799.994,-0.255,idle
3866.661,-0.239,idle
3933.33,-0.272,idle
3999.999,-0.06,idle
4066.662,0.248,idle
4133.332,0.301,idle
4199.999,0.359,idle
4266.666,0.285,idle
4333.33,0.17,idle
4399.995,0.161,idle
4466.664,0.067,idle
4533.33,-0.074,idle
4599.996,-0.139,idle
4666.663,-0.159,idle
4733.328,-0.278,idle
4800,-0.277,idle
4866.663,-0.562,idle
4933.334,-0.395,idle
4999.994,-0.397,idle
5066.663,-0.484,idle
5133.328,-0.674,idle
5200,-0.787,idle
5266.666,-0.737,idle
5333.333,-0.666,idle
5399.997,-0.676,idle
5466.662,-0.557,idle
5533.33,-0.568,idle
5599.997,-0.521,idle
5666.66,-0.654,idle
5733.33,-0.71,idle
5800,-0.797,idle
5866.666,-0.482,idle
5933.333,-0.527,idle
5999.994,-0.571,idle
6066.663,-0.59,idle
6133.331,-0.424,idle
6199.994,-0.274,idle
6266.663,-0.121,idle
6333.333,-0.09,idle
6399.998,-0.037,idle
6466.66,0.059,idle
6533.333,0.088,idle
6599.999,0.147,idle
6666.662,0.423,idle
6733.327,0.485,idle
6799.994,0.521,idle
6866.661,0.61,idle
6933.331,0.639,idle
6999.999,0.681,idle
7066.665,0.658,idle
7133.33,0.489,idle
7199.995,0.417,idle
7266.664,0.213,idle
7333.331,0.129,idle
7399.994,0.066,idle
7466.666,-0.123,idle
7533.327,-0.092,idle
7599.997,-0.186,idle
7666.662,-0.424,idle
7733.333,-0.398,idle
7799.994,-0.447,idle
7866.665,-0.653,idle
7933.33,-0.661,idle
7999.999,-0.703,idle
8066.666,-0.9,idle
8133.332,-0.936,idle
8199.997,-1.132,idle
8266.664,-1.075,idle
8333.333,-1.091,idle
8399.994,-1.026,idle
8466.663,-1.01,idle
8533.33,-0.959,idle
8599.998,-1.157,idle
8666.665,-1.123,idle
8733.328,-1.261,idle
8799.995,-1.366,idle
8866.666,-1.409,idle
8933.329,-1.46,idle
8999.994,-1.547,idle
9066.663,-1.369,idle
9133.333,-1.213,idle
9199.994,-0.996,idle
9266.665,-1.088,idle
9333.327,-1.207,idle
9400,-1.301,idle
9466.666,-1.425,idle
9533.332,-1.528,idle
9599.995,-1.494,idle
9666.667,-1.448,idle
9733.33,-1.367,suspended
9799.999,-1.211,suspended
9866.664,-1.127,suspended
9933.329,-1.218,suspended
9999.996,-0.942,suspended
10066.661,-1.089,suspended
10133.329,-1.115,suspended
10199.998,-1.205,suspended
10266.666,-1.327,suspended
10333.327,-1.334,suspended
10399.995,-1.219,suspended
10466.665,-1.004,suspended
10533.332,-1.163,suspended
10599.997,-1.154,suspended
10666.66,-1.187,suspended
10733.329,-1.258,suspended
10799.997,-1.447,suspended
10866.66,-1.535,suspended
10933.329,-1.4,suspended
10999.995,-1.572,suspended
11066.665,-1.438,suspended
11133.329,-1.501,suspended
11199.996,-1.591,suspended
11266.666,-1.336,suspended
11333.327,-1.37,suspended
11399.994,-1.384,suspended
11466.665,-1.365,walking
11533.327,-1.201,walking
11599.995,-1.038,walking
11666.666,-1.011,walking
11733.331,-0.812,walking
11799.995,-0.613,walking
11866.664,-0.562,walking
11933.333,-0.725,walking
11999.996,-0.845,walking
12066.665,-0.776,walking
12133.334,-0.846,walking
12199.994,-0.692,walking
12266.663,-0.651,walking
12333.328,-0.585,walking
12399.998,-0.896,walking
12466.661,-0.896,walking
12533.333,-0.782,walking
12600,-0.743,walking
12666.661,-0.684,walking
12733.332,-0.909,walking
12799.996,-1.131,walking
12866.661,-1.033,walking
12933.329,-1.012,walking
12999.998,-0.818,walking
13066.667,-0.958,walking
13133.328,-0.955,walking
13199.999,-1.18,walking
13266.662,-1.353,walking
13333.333,-1.222,walking
13399.997,-1.17,walking
13466.661,-1.397,walking
13533.33,-1.68,walking
13599.999,-1.795,walking
13666.667,-1.809,walking
13733.33,-1.759,walking
13799.997,-1.683,walking
13866.667,-1.912,walking
13933.333,-1.772,walking
13999.994,-1.733,walking
14066.665,-1.575,walking
14133.333,-1.41,walking
14199.999,-0.981,walking
14266.664,-0.76,walking
14333.329,-0.82,walking
14399.995,-0.675,walking
14466.663,-0.464,walking
14533.328,-0.267,walking
14600,-0.191,walking
14666.661,-0.125,walking
14733.333,-0.033,walking
14799.996,0.01,walking
14866.664,0.041,walking
14933.333,0.033,walking
14999.998,-0.237,walking
15066.664,-0.49,walking
15133.332,-0.603,walking
15199.997,-0.697,walking
15266.663,-0.865,walking
15333.332,-0.74,walking
15400,-0.53,walking
15466.664,-0.681,walking
15533.333,-0.634,walking
15599.997,-0.715,walking
15666.664,-0.805,walking
15733.333,-0.858,walking
15799.999,-0.988,walking
15866.664,-0.966,walking
15933.334,-1.062,walking
15999.982,-0.947,walking
16066.632,-0.77,walking
16133.282,-0.688,walking
16199.94,-0.788,walking
16266.586,-0.676,walking
16333.24,-0.713,walking
16399.887,-0.848,walking
16466.538,-0.718,walking
16533.193,-0.853,walking
16599.84,-0.725,walking
16666.495,-0.733,walking
16733.142,-0.755,walking
16799.793,-0.723,walking
16866.447,-0.664,walking
16933.093,-0.589,walking
16999.743,-0.55,walking
17066.393,-0.611,walking
17133.046,-0.727,walking
17199.695,-0.736,walking
17266.339,-0.71,walking
17332.993,-0.817,walking
17399.64,-0.955,walking
17466.287,-1.025,walking
17532.941,-0.929,walking
17599.588,-1.065,walking
17666.239,-0.924,walking
17732.886,-0.749,walking
17799.529,-0.493,walking
17866.181,-0.52,walking
17932.828,-0.425,walking
17999.477,-0.43,walking
18066.127,-0.28,walking
18132.77,-0.172,walking
18199.421,-0.184,walking
18266.07,-0.26,walking
18332.717,-0.051,walking
18399.36,0.237,walking
18466.007,0.393,walking
18532.654,0.569,walking
18599.305,0.686,walking
18665.95,0.715,walking
18732.596,0.713,walking
18799.244,0.736,walking
18865.89,0.946,walking
18932.54,0.873,walking
18999.18,0.873,walking
19065.831,0.766,walking
19132.475,0.71,walking
19199.119,0.766,walking
19265.765,0.876,walking
19332.415,0.673,walking
19399.059,0.64,walking
19465.702,0.498,walking
19532.348,0.41,walking
19598.993,0.399,walking
19665.634,0.238,walking
19732.281,0.276,walking
19798.925,0.068,walking
19865.571,-0.181,walking
19932.217,-0.167,walking
19998.862,-0.214,walking
20065.504,-0.41,walking
20132.151,-0.487,walking
20198.792,-0.75,walking
20265.435,-0.98,walking
20332.083,-0.99,walking
20398.727,-1.057,walking
20465.365,-1.312,walking
20532.013,-1.495,walking
20598.655,-1.664,walking
20665.3,-1.664,walking
20731.942,-1.823,walking
20798.58,-1.732,walking
20865.225,-1.675,walking
20931.87,-1.469,walking
20998.512,-1.367,walking
21065.15,-0.917,walking
21131.794,-0.798,walking
21198.437,-0.504,walking
21265.081,-0.536,walking
21331.723,-0.555,walking
21398.362,-0.506,walking
21465.003,-0.223,walking
21531.642,-0.334,walking
21598.286,-0.136,walking
21664.931,-0.098,walking
21731.568,-0.111,walking
21798.211,-0.083,walking
21864.85,-0.11,walking
21931.491,-0.325,walking
21998.135,-0.331,walking
22064.772,-0.653,walking
22131.415,-0.677,walking
22198.051,-0.691,walking
22264.696,-0.515,walking
22331.335,-0.531,walking
22397.975,-0.589,walking
22464.613,-0.603,walking
22531.255,-0.46,walking
22597.894,-0.522,walking
22664.531,-0.278,walking
22731.168,-0.1,walking
22797.809,-0.111,walking
22864.448,-0.081,walking
22931.084,-0.154,walking
22997.724,-0.267,walking
23064.366,-0.07,walking
23131.004,-0.145,walking
23197.644,-0.335,walking
23264.282,-0.419,walking
23330.915,-0.367,walking
23397.556,-0.457,walking
23464.197,-0.556,walking
23530.832,-0.58,walking
23597.467,-0.764,walking
23664.108,-1.083,walking
23730.743,-1.192,walking
23797.378,-1.142,walking
23864.021,-1.231,walking
23930.654,-1.174,walking
23997.312,-1.034,walking
24063.973,-1.122,walking
24130.626,-1.015,walking
24197.288,-0.926,walking
24263.945,-0.824,walking
24330.603,-0.706,walking
24397.264,-0.557,walking
24463.918,-0.459,walking
24530.576,-0.325,walking
24597.232,-0.085,walking
24663.892,-0.087,walking
24730.554,-0.137,walking
24797.21,-0.207,walking
24863.864,-0.209,walking
24930.521,-0.308,walking
24997.181,-0.269,walking
25063.843,-0.263,walking
25130.501,-0.161,walking
25197.157,-0.005,walking
25263.813,-0.048,walking
25330.469,-0.172,walking
25397.133,-0.374,walking
25463.776,-0.437,walking
25530.442,-0.512,walking
25597.104,-0.636,walking
25663.761,-0.553,walking
25730.417,-0.497,walking
25797.075,-0.582,walking
25863.734,-0.238,walking
25930.395,-0.046,walking
25997.05,0.046,walking
26063.706,0.206,walking
26130.363,0.208,walking
26197.026,0.262,walking
26263.683,0.25,walking
26330.338,0.428,walking
26396.997,0.645,walking
26463.652,0.914,walking
26530.312,1.006,walking
26596.97,1.027,walking
26663.624,1.011,walking
26730.288,1.111,walking
26796.946,1.233,walking
26863.601,0.969,walking
26930.259,0.969,walking
26996.916,1.119,walking
27063.574,1.058,walking
27130.232,1.016,walking
27196.892,0.866,walking
27263.545,0.798,walking
27330.202,0.604,walking
27396.863,0.556,walking
27463.518,0.281,walking
27530.179,0.136,walking
27596.834,0.149,walking
27663.491,0.169,walking
27730.148,0.008,walking
27796.812,0.028,walking
27863.466,-0.024,walking
27930.121,-0.162,walking
27996.784,-0.648,walking
28063.441,-0.832,walking
28130.096,-0.922,walking
28196.755,-1.003,walking
28263.415,-0.886,walking
28330.068,-0.772,walking
28396.729,-0.866,walking
28463.387,-0.738,walking
28530.042,-0.462,walking
28596.699,-0.386,walking
28663.356,-0.189,walking
28730.016,-0.184,walking
28796.67,-0.102,walking
28863.326,-0.016,walking
28929.984,0.005,walking
28996.644,0.163,walking
29063.3,0.005,walking
29129.957,0.026,walking
29196.62,-0.031,walking
29263.276,-0.216,walking
29329.931,-0.381,walking
29396.592,-0.453,walking
29463.244,-0.67,walking
29529.905,-0.952,walking
29596.565,-0.98,walking
29663.216,-1.262,walking
29729.877,-1.298,walking
29796.532,-1.468,walking
29863.189,-1.539,walking
29929.847,-1.397,walking
29996.503,-1.497,walking
30063.166,-1.301,walking
30129.819,-1.249,walking
30196.475,-1.06,walking
30263.133,-1.079,walking
30329.795,-1.021,walking
30396.45,-1.156,walking
30463.111,-1.003,walking
30529.768,-1.169,walking
30596.424,-1.275,walking
30663.078,-1.317,walking
30729.736,-1.303,walking
30796.398,-1.374,walking
30863.051,-1.387,walking
30929.707,-1.521,walking
30996.37,-1.549,walking
31063.023,-1.659,walking
31129.682,-1.839,walking
31196.337,-1.967,walking
31262.994,-1.909,walking
31329.65,-2.045,walking
31396.31,-1.898,walking
31462.969,-1.985,walking
31529.622,-1.932,walking
31596.285,-1.99,walking
31662.942,-2.069,walking
31729.596,-1.989,walking
31796.254,-1.905,walking
31862.909,-1.93,walking
31929.566,-2.096,walking
31996.226,-2.052,walking
32062.886,-1.842,walking
32129.54,-1.732,walking
32196.196,-1.899,walking
32262.854,-1.901,walking
32329.512,-1.702,walking
32396.174,-1.619,walking
32462.828,-1.707,walking
32529.487,-1.592,walking
32596.146,-1.446,walking
32662.801,-1.342,walking
32729.465,-1.512,walking
32796.12,-1.566,walking
32862.777,-1.323,walking
32929.435,-1.135,walking
32996.096,-0.87,walking
33062.752,-0.914,walking
33129.409,-1.117,walking
33196.065,-0.879,walking
33262.724,-0.892,walking
33329.385,-1.15,walking
33396.038,-1.107,walking
33462.7,-1.011,walking
33529.359,-1.044,walking
33596.011,-1.04,walking
33662.668,-1.054,walking
33729.331,-0.96,walking
33795.985,-0.883,walking
33862.642,-0.983,walking
33929.303,-0.889,walking
33995.962,-1.085,walking
34062.615,-1.228,walking
34129.272,-0.981,walking
34195.934,-0.889,walking
34262.59,-0.771,walking
34329.251,-0.613,walking
34395.908,-0.622,walking
34462.564,-0.56,walking
34529.221,-0.424,walking
34595.88,-0.48,walking
34662.534,-0.348,walking
34729.193,-0.339,walking
34795.855,-0.351,walking
34862.513,-0.359,walking
34929.17,-0.431,walking
34995.826,-0.329,walking
