time,dF/F,behavior
0,-0.701,walking
66.668,-0.432,walking
133.333,-0.359,walking
200.004,-0.2,walking
266.668,-0.166,walking
333.338,-0.191,walking
400.001,-0.115,walking
466.668,-0.046,walking
533.337,0.22,walking
599.999,0.511,walking
666.668,0.675,walking
733.337,0.842,walking
800.005,0.847,walking
866.667,0.908,walking
933.334,0.722,walking
1000.004,0.64,walking
1066.668,0.599,walking
1133.334,0.641,walking
1200.005,0.535,walking
1266.67,0.523,walking
1333.334,0.524,walking
1400.001,0.554,walking
1466.669,0.451,walking
1533.337,0.351,suspended
1600.005,0.231,suspended
1666.67,0.083,suspended
1733.333,-0.057,suspended
1800.003,-0.164,suspended
1866.665,-0.191,suspended
1933.337,-0.253,suspended
2000.001,-0.085,suspended
2066.672,-0.126,suspended
2133.336,-0.259,suspended
2200.003,-0.362,suspended
2266.67,-0.208,suspended
2333.335,-0.234,suspended
2400.001,-0.528,suspended
2466.671,-0.578,suspended
2533.337,-0.695,suspended
2600.005,-0.694,suspended
2666.669,-0.71,suspended
2733.339,-0.571,suspended
2800.005,-0.396,suspended
2866.668,-0.473,suspended
2933.336,-0.339,suspended
3000.003,-0.219,suspended
3066.672,-0.295,suspended
3133.333,-0.22,suspended
3200.005,-0.237,suspended
3266.667,-0.367,suspended
3333.336,-0.358,suspended
3400.003,-0.128,suspended
3466.67,-0.009,suspended
3533.332,0.029,suspended
3599.999,0.062,suspended
3666.67,-0.142,suspended
3733.335,-0.274,suspended
3800.001,-0.37,suspended
3866.67,-0.377,suspended
3933.337,-0.531,suspended
4000.003,-0.738,suspended
4066.666,-0.756,suspended
4133.337,-0.675,suspended
4199.999,-0.6,suspended
4266.666,-0.646,suspended
4333.334,-0.493,suspended
4400,-0.526,suspended
4466.668,-0.578,suspended
4533.336,-0.639,suspended
4600.002,-0.844,suspended
4666.671,-0.836,suspended
4733.332,-0.934,suspended
4800.001,-0.917,suspended
4866.667,-0.909,suspended
4933.338,-0.792,suspended
4999.999,-0.851,suspended
5066.668,-0.728,suspended
5133.334,-0.802,suspended
5200.002,-0.834,suspended
5266.667,-0.852,suspended
5333.334,-1.002,suspended
5400.003,-1.122,suspended
5466.67,-1.109,suspended
5533.334,-1.052,suspended
5600,-0.984,suspended
5666.671,-0.972,suspended
5733.332,-0.962,suspended
5800.003,-1.018,suspended
5866.671,-1.153,walking
5933.337,-1.32,walking
5999.999,-1.407,walking
6066.671,-1.742,walking
6133.333,-1.935,walking
6200,-1.936,walking
6266.672,-1.881,walking
6333.335,-1.733,walking
6400.001,-1.648,walking
6466.666,-1.809,walking
6533.334,-1.78,walking
6600.002,-1.823,walking
6666.671,-1.738,walking
6733.337,-1.692,walking
6800,-1.685,walking
6866.67,-1.601,walking
6933.336,-1.466,walking
6999.999,-1.347,walking
7066.668,-1.188,walking
7133.336,-1.105,walking
7199.999,-1.139,walking
7266.667,-1.34,walking
7333.334,-1.41,walking
7399.998,-1.336,walking
7466.665,-1.23,walking
7533.338,-1.263,walking
7600.003,-1.057,walking
7666.669,-1.038,walking
7733.333,-1.092,walking
7800.002,-1.149,walking
7866.668,-1.189,walking
7933.334,-1.141,walking
8000.002,-1.179,walking
8066.669,-1.138,walking
8133.337,-1.1,walking
8200.004,-1.039,walking
8266.669,-0.868,walking
8333.333,-1.006,walking
8400.003,-1.184,walking
8466.671,-1.068,walking
8533.334,-1.126,walking
8600.001,-1.246,walking
8666.669,-1.246,walking
8733.338,-1.111,walking
8800.001,-1.208,walking
8866.669,-1.271,walking
8933.332,-1.359,walking
9000.001,-1.4,walking
9066.67,-1.363,walking
9133.332,-1.322,walking
9200.004,-1.304,walking
9266.67,-1.362,walking
9333.335,-1.364,walking
9400.005,-1.094,walking
9466.668,-1.285,walking
9533.333,-1.206,walking
9600.004,-1.359,walking
9666.671,-1.323,walking
9733.332,-1.41,walking
9800,-1.206,walking
9866.668,-0.91,walking
9933.335,-0.897,walking
10000.003,-0.718,walking
10066.671,-0.682,walking
10133.338,-0.617,walking
10200.001,-0.494,walking
10266.669,-0.388,walking
10333.337,-0.194,walking
10400.001,-0.298,walking
10466.667,-0.127,walking
10533.338,-0.13,walking
10599.999,0.041,walking
10666.669,0.122,walking
10733.334,0.198,walking
10799.999,0.148,walking
10866.668,0.11,walking
10933.337,0.153,walking
11000.001,0.095,walking
11066.669,0.166,walking
11133.332,0.123,walking
11200.001,0.087,walking
11266.671,0.006,walking
11333.334,-0.203,walking
11400.004,-0.305,walking
11466.67,-0.329,walking
11533.338,-0.373,walking
11600,-0.472,walking
11666.668,-0.384,walking
11733.333,-0.217,walking
11799.999,-0.074,walking
11866.67,-0.126,walking
11933.334,-0.129,walking
12000.004,-0.262,walking
12066.669,-0.333,walking
12133.332,-0.38,walking
12200.005,-0.513,walking
12266.668,-0.445,walking
12333.336,-0.377,walking
12399.999,-0.339,walking
12466.666,-0.415,walking
12533.332,-0.336,walking
12600.001,-0.304,walking
12666.67,-0.493,walking
12733.335,-0.715,walking
12800.004,-0.782,walking
12866.671,-0.783,walking
12933.336,-0.826,walking
13000.001,-0.76,walking
13066.666,-0.78,walking
13133.335,-0.869,walking
13200.005,-0.871,walking
13266.669,-0.859,walking
13333.334,-0.746,walking
13399.999,-0.66,walking
13466.666,-0.722,walking
13533.336,-0.747,walking
13600.005,-0.729,walking
13666.671,-0.477,walking
13733.334,-0.341,walking
13800.002,-0.292,walking
13866.667,-0.309,walking
13933.333,-0.202,walking
14000.002,-0.007,walking
14066.671,0.068,walking
14133.336,0.145,walking
14200.003,0.241,walking
14266.672,0.303,walking
14333.337,0.302,walking
14399.998,0.286,walking
14466.669,0.409,walking
14533.333,0.315,walking
14600.002,0.285,walking
14666.665,0.189,walking
14733.335,0.148,walking
14800.001,0.177,walking
14866.666,0.297,walking
14933.336,0.29,walking
14999.999,0.09,walking
15066.669,-0.092,walking
15133.338,-0.079,walking
15200.004,-0.094,walking
15266.668,-0.212,walking
15333.334,-0.22,walking
15399.999,-0.121,walking
15466.665,-0.006,walking
15533.336,0.224,walking
15600,0.359,walking
15666.671,0.306,walking
15733.333,0.273,walking
15799.999,0.325,walking
15866.669,0.216,walking
15933.336,0.088,walking
15999.994,0.294,walking
16066.645,0.375,walking
16133.304,0.463,walking
16199.955,0.645,walking
16266.613,0.672,walking
16333.268,0.615,walking
16399.924,0.35,walking
16466.577,0.078,walking
16533.236,0.011,walking
16599.885,-0.071,walking
16666.543,-0.009,walking
16733.195,0.047,walking
16799.855,-0.133,walking
16866.507,-0.015,walking
16933.163,0.171,walking
16999.819,0.019,walking
17066.472,-0.129,walking
17133.127,-0.256,walking
17199.775,-0.283,walking
17266.435,-0.411,walking
17333.083,-0.465,walking
17399.743,-0.21,walking
